Institution Name,Has Resource(s),Has Project(s),IPEDS
ANL,TRUE,FALSE,
ATLAS,FALSE,TRUE,
Academia Sinica,TRUE,FALSE,345415
Albert Einstein College of Medicine,FALSE,TRUE,
Allen Independent School District,FALSE,TRUE,
American Museum of Natural History,TRUE,TRUE,
Arcadia University,FALSE,TRUE,211088
Argonne National Lab,FALSE,TRUE,
Argonne National Laboratory,FALSE,TRUE,
Arizona State University,TRUE,TRUE,483124
Austin Peay State University,FALSE,TRUE,
Bay Area Environmental Research Institute,FALSE,TRUE,
Baylor College of Medicine,FALSE,TRUE,
Baylor University,TRUE,TRUE,
Bellarmine University,TRUE,FALSE,
Boise State University,FALSE,TRUE,
Boston Children's Hospital,FALSE,TRUE,
Boston College,FALSE,TRUE,
Boston University,TRUE,TRUE,
Brandeis University,TRUE,TRUE,
Brigham Young University Idaho,FALSE,TRUE,
Broad Institute,FALSE,TRUE,
Brookhaven National Laboratory,TRUE,TRUE,
Brown University,TRUE,TRUE,
Bryn Mawr College,FALSE,TRUE,
Bucknell University,FALSE,TRUE,
CBPF,TRUE,FALSE,
CDMS,FALSE,TRUE,
CENF_NeutrinoPlatform,TRUE,FALSE,
CERN,FALSE,TRUE,
CILogon_org,TRUE,FALSE,
CUNY Brooklyn College,FALSE,TRUE,
CUNY Graduate Center,TRUE,FALSE,
California Institute of Technology,TRUE,TRUE,
"California State University, Fresno",TRUE,FALSE,
"California State University, Northridge",FALSE,TRUE,
"California State University, San Bernadino",FALSE,TRUE,
Caltech,FALSE,TRUE,
CancerComputer,TRUE,FALSE,
Canisius College,FALSE,TRUE,
Cardiff University,TRUE,FALSE,
Carnegie-Mellon University,FALSE,TRUE,
Case Western Reserve University,FALSE,TRUE,
Centre College,FALSE,TRUE,
Chicago State University,FALSE,TRUE,
Cinvestav,TRUE,FALSE,
Clarkson University,TRUE,TRUE,
Clemson University,TRUE,TRUE,
Coe College,FALSE,TRUE,
College of Charleston,FALSE,TRUE,
Colorado School of Mines,FALSE,TRUE,
Colorado State University,FALSE,TRUE,
Columbia University,FALSE,TRUE,
Columbia University_Nevis Labs,TRUE,FALSE,
Compute Canada,TRUE,FALSE,
Computer Network Information Center (CNIC),TRUE,FALSE,
Cornell University,TRUE,TRUE,
Creighton University,FALSE,TRUE,
CyVerse,TRUE,FALSE,
Cybera,TRUE,FALSE,
DOSAR,FALSE,TRUE,
DUNE,FALSE,TRUE,
Darkside,FALSE,TRUE,
Dartmouth College,FALSE,TRUE,
"Dearborn Center for Math, Science, and Technology",FALSE,TRUE,
Doane University,FALSE,TRUE,
Donald Danforth Plant Science Center,TRUE,TRUE,
Drexel University,FALSE,TRUE,
Duke University,FALSE,TRUE,
Duke_University,TRUE,FALSE,
Duquesne University,FALSE,TRUE,
Dutch National e-Infrastructure,TRUE,FALSE,
ETH Zurich,FALSE,TRUE,
Emory University,FALSE,TRUE,
"Eureka Scientific, Inc.",FALSE,TRUE,
Facility for Rare Isotopes Beams (FRIB),FALSE,TRUE,
Fairfield,FALSE,TRUE,
Fermi National Accelerator Laboratory,TRUE,FALSE,
Fermilab,FALSE,TRUE,
Florida A&M University,TRUE,FALSE,
Florida Institute of Technology,TRUE,TRUE,
Florida International University,TRUE,TRUE,
Florida State University,TRUE,TRUE,
Folding@Home Consortium (FAHC),FALSE,TRUE,
Fond du Lac Tribal & Community College,FALSE,TRUE,
Franklin and Marshall College,TRUE,FALSE,
Fresno State University,FALSE,TRUE,
George Washington University,FALSE,TRUE,
Georgia Institute of Technology,TRUE,TRUE,
Georgia State University,TRUE,TRUE,
Great Plains Network,TRUE,TRUE,
Gridplexus,TRUE,FALSE,
Hampton University,FALSE,TRUE,
Hampton University PPCF,TRUE,FALSE,
Harvard Medical School,TRUE,TRUE,
Harvard University,TRUE,TRUE,
High Performance Computing Facility - University of Puerto Rico,TRUE,FALSE,
Hobart and William Smith Colleges,FALSE,TRUE,
IFAE,TRUE,FALSE,
INFN-PADOVA,TRUE,FALSE,
INFN-T1,TRUE,FALSE,
ISI,FALSE,TRUE,
IUPUI,FALSE,TRUE,
Icahn School of Medicine at Mount Sinai,FALSE,TRUE,
Illinois Institute of Technology,TRUE,TRUE,
Indian Institute of Chemical Biology,FALSE,TRUE,
Indiana University,TRUE,TRUE,
Indiana University of Pennsylvania,FALSE,TRUE,
Institute for Protein Innovation,FALSE,TRUE,
Institute of Physics ASCR,TRUE,FALSE,
"Institute of Plasma Physics, Chinese Academy of Sciences",TRUE,FALSE,
Inter-University Centre for Astronomy and Astrophysics,TRUE,FALSE,
International Center for Theoretical Physics,FALSE,TRUE,
International Centre for Theoretical Sciences,TRUE,FALSE,
International Gravitational-Wave Observatory Network (IGWN),FALSE,TRUE,
Internet2,TRUE,TRUE,
Iolani School,FALSE,TRUE,
Iowa State University,TRUE,TRUE,
JINR,TRUE,FALSE,
Jackson Laboratory for Genomic Medicine,FALSE,TRUE,
Jefferson Lab,FALSE,TRUE,
Johns Hopkins University,FALSE,TRUE,
Johns Hopkins University Applied Physics Lab,FALSE,TRUE,
Kansas State University,TRUE,TRUE,
Kansas University,TRUE,FALSE,
Kennesaw State University,TRUE,TRUE,
Kent State University,TRUE,TRUE,
Korea Institute of Science and Technology Information,TRUE,FALSE,
LHCONE,TRUE,FALSE,
LSU School of Public Health,FALSE,TRUE,
Lafayette College,TRUE,FALSE,
Lamar University,TRUE,FALSE,
Lancaster University,FALSE,TRUE,
Lancium,TRUE,FALSE,
Langston University,TRUE,FALSE,
Lawrence Berkeley National Laboratory,FALSE,TRUE,
Lawrence Berkley National Laboratory,TRUE,FALSE,
Lawrence Livermore National Laboratory,TRUE,TRUE,
Lehigh University,TRUE,TRUE,
Lonestar Education and Research Network,FALSE,TRUE,
Los Alamos National Lab,FALSE,TRUE,
"Louisiana School for Math, Science, and the Arts",FALSE,TRUE,
Louisiana State University,TRUE,TRUE,
Louisiana State University Health Sciences Center,TRUE,TRUE,
Louisiana Tech University,TRUE,TRUE,
Loyola University Chicago,FALSE,TRUE,
Massachusetts Green High Performance Computing Center,TRUE,FALSE,
Massachusetts Institute of Technology,TRUE,TRUE,
McGill University,TRUE,FALSE,
Meharry Medical College,FALSE,TRUE,
Michigan State University,FALSE,TRUE,
Michigan State University High Energy Physics,TRUE,FALSE,
Michigan Technological University,FALSE,TRUE,
Missouri University of Science and Technology,FALSE,TRUE,
Montana State University,FALSE,TRUE,
NIAID/NIH,FALSE,TRUE,
NSF DC,TRUE,FALSE,
National Center for High-performance Computing,TRUE,FALSE,
National Center for Supercomputing Applications (NCSA),FALSE,TRUE,
National Energy Research Scientific Computing Center,TRUE,FALSE,
National Institute for Computational Sciences,FALSE,TRUE,
National Institute of Allergy and Infectious Diseases,FALSE,TRUE,
National Institute of Standards and Technology,FALSE,TRUE,
National Oceanic and Atmospheric Administration,FALSE,TRUE,
National Renewable Energy Laboratory,FALSE,TRUE,
National Research Council of Canada,FALSE,TRUE,
Nevada System of Higher Education,FALSE,TRUE,
New Jersey Institute of Technology,FALSE,TRUE,
New Mexico State University,TRUE,TRUE,
New York University,TRUE,TRUE,
Niagara University,TRUE,FALSE,
Nicholls State University,FALSE,TRUE,
Niels Bohr Institute,TRUE,FALSE,
North Carolina State University,TRUE,TRUE,
North Dakota State University,TRUE,TRUE,
Northeastern University,TRUE,TRUE,
Northern Illinois University,TRUE,TRUE,
Northwest Missouri State University,FALSE,TRUE,
Northwestern University,TRUE,TRUE,
OSG,FALSE,TRUE,
Oak Ridge National Laboratory,TRUE,FALSE,
Ohio State University,FALSE,TRUE,
Ohio Supercomputer Center,TRUE,FALSE,
Oklahoma State University,TRUE,TRUE,
Oklahoma University,FALSE,TRUE,
Old Dominion University,TRUE,FALSE,
Open Science Grid,FALSE,TRUE,
Oregon State University,FALSE,TRUE,
PNNL,TRUE,FALSE,
Pacific Northwest National Laboratory,FALSE,TRUE,
Pacific Research Platform,FALSE,TRUE,
Pacific Rim Application and Grid Middleware Assembly (PRAGMA),FALSE,TRUE,
Penn State University,TRUE,FALSE,
Pennsylvania State University,FALSE,TRUE,
Pittsburgh Supercomputing Center,TRUE,FALSE,
Pontificia Universidad Javeriana,TRUE,FALSE,
Portland State University,TRUE,TRUE,
Princeton University,TRUE,TRUE,
Purdue University,TRUE,TRUE,
Purdue University Calumet,FALSE,TRUE,
Renaissance Computing Institute,FALSE,TRUE,
Rensselaer Polytechnic Institute,FALSE,TRUE,
Repertoire Immune Medicines,FALSE,TRUE,
Rhodes College,TRUE,FALSE,
Rice University,TRUE,TRUE,
Rochester Institute of Technology,TRUE,TRUE,
Rockefeller University,FALSE,TRUE,
Roswell Park Cancer Institute,FALSE,TRUE,
Rowan University,FALSE,TRUE,
Rutgers University,TRUE,FALSE,
"Rutgers, The State University of New Jersey",FALSE,TRUE,
