,Institution Name,Has Resource(s),Has Project(s),IPEDS,unitid,name
0,ANL,True,False,,,
1,ATLAS,False,True,,,
2,Academia Sinica,True,False,345415.0,,
3,Albert Einstein College of Medicine,False,True,,385415.0,Albert Einstein College of Medicine
4,Allen Independent School District,False,True,,,
5,American Museum of Natural History,True,True,,,
6,Arcadia University,False,True,211088.0,211088.0,Arcadia University
7,Argonne National Lab,False,True,,,
8,Argonne National Laboratory,False,True,,,
9,Arizona State University,True,True,483124.0,,
10,Austin Peay State University,False,True,,219602.0,Austin Peay State University
11,Bay Area Environmental Research Institute,False,True,,,
12,Baylor College of Medicine,False,True,,223223.0,Baylor College of Medicine
13,Baylor University,True,True,,223232.0,Baylor University
14,Bellarmine University,True,False,,156286.0,Bellarmine University
15,Boise State University,False,True,,142115.0,Boise State University
16,Boston Children's Hospital,False,True,,,
17,Boston College,False,True,,164924.0,Boston College
18,Boston University,True,True,,164988.0,Boston University
19,Brandeis University,True,True,,165015.0,Brandeis University
20,Brigham Young University Idaho,False,True,,,
21,Broad Institute,False,True,,,
22,Brookhaven National Laboratory,True,True,,,
23,Brown University,True,True,,217156.0,Brown University
24,Bryn Mawr College,False,True,,211273.0,Bryn Mawr College
25,Bucknell University,False,True,,211291.0,Bucknell University
26,CBPF,True,False,,,
27,CDMS,False,True,,,
28,CENF_NeutrinoPlatform,True,False,,,
29,CERN,False,True,,,
30,CILogon_org,True,False,,,
31,CUNY Brooklyn College,False,True,,190549.0,CUNY Brooklyn College
32,CUNY Graduate Center,True,False,,,
33,California Institute of Technology,True,True,,110404.0,California Institute of Technology
34,"California State University, Fresno",True,False,,,
35,"California State University, Northridge",False,True,,,
36,"California State University, San Bernadino",False,True,,,
37,Caltech,False,True,,,
38,CancerComputer,True,False,,,
39,Canisius College,False,True,,189705.0,Canisius College
40,Cardiff University,True,False,,,
41,Carnegie-Mellon University,False,True,,,
42,Case Western Reserve University,False,True,,201645.0,Case Western Reserve University
43,Centre College,False,True,,156408.0,Centre College
44,Chicago State University,False,True,,144005.0,Chicago State University
45,Cinvestav,True,False,,,
46,Clarkson University,True,True,,190044.0,Clarkson University
47,Clemson University,True,True,,217882.0,Clemson University
48,Coe College,False,True,,153144.0,Coe College
49,College of Charleston,False,True,,217819.0,College of Charleston
50,Colorado School of Mines,False,True,,126775.0,Colorado School of Mines
51,Colorado State University,False,True,,,
52,Columbia University,False,True,,,
53,Columbia University_Nevis Labs,True,False,,,
54,Compute Canada,True,False,,,
55,Computer Network Information Center (CNIC),True,False,,,
56,Cornell University,True,True,,190415.0,Cornell University
57,Creighton University,False,True,,181002.0,Creighton University
58,CyVerse,True,False,,,
59,Cybera,True,False,,,
60,DOSAR,False,True,,,
61,DUNE,False,True,,,
62,Darkside,False,True,,,
63,Dartmouth College,False,True,,182670.0,Dartmouth College
64,"Dearborn Center for Math, Science, and Technology",False,True,,,
65,Doane University,False,True,,181020.0,Doane University
66,Donald Danforth Plant Science Center,True,True,,,
67,Drexel University,False,True,,212054.0,Drexel University
68,Duke University,False,True,,198419.0,Duke University
69,Duke_University,True,False,,,
70,Duquesne University,False,True,,212106.0,Duquesne University
71,Dutch National e-Infrastructure,True,False,,,
72,ETH Zurich,False,True,,,
73,Emory University,False,True,,139658.0,Emory University
74,"Eureka Scientific, Inc.",False,True,,,
75,Facility for Rare Isotopes Beams (FRIB),False,True,,,
76,Fairfield,False,True,,,
77,Fermi National Accelerator Laboratory,True,False,,,
78,Fermilab,False,True,,,
79,Florida A&M University,True,False,,,
80,Florida Institute of Technology,True,True,,133881.0,Florida Institute of Technology
81,Florida International University,True,True,,133951.0,Florida International University
82,Florida State University,True,True,,134097.0,Florida State University
83,Folding@Home Consortium (FAHC),False,True,,,
84,Fond du Lac Tribal & Community College,False,True,,,
85,Franklin and Marshall College,True,False,,212577.0,Franklin and Marshall College
86,Fresno State University,False,True,,,
87,George Washington University,False,True,,131469.0,George Washington University
88,Georgia Institute of Technology,True,True,,,
89,Georgia State University,True,True,,139940.0,Georgia State University
90,Great Plains Network,True,True,,,
91,Gridplexus,True,False,,,
92,Hampton University,False,True,,232265.0,Hampton University
93,Hampton University PPCF,True,False,,,
94,Harvard Medical School,True,True,,,
95,Harvard University,True,True,,166027.0,Harvard University
96,High Performance Computing Facility - University of Puerto Rico,True,False,,,
97,Hobart and William Smith Colleges,False,True,,,
98,IFAE,True,False,,,
99,INFN-PADOVA,True,False,,,
100,INFN-T1,True,False,,,
101,ISI,False,True,,,
102,IUPUI,False,True,,,
103,Icahn School of Medicine at Mount Sinai,False,True,,193405.0,Icahn School of Medicine at Mount Sinai
104,Illinois Institute of Technology,True,True,,145725.0,Illinois Institute of Technology
105,Indian Institute of Chemical Biology,False,True,,,
106,Indiana University,True,True,,,
107,Indiana University of Pennsylvania,False,True,,,
108,Institute for Protein Innovation,False,True,,,
109,Institute of Physics ASCR,True,False,,,
110,"Institute of Plasma Physics, Chinese Academy of Sciences",True,False,,,
111,Inter-University Centre for Astronomy and Astrophysics,True,False,,,
112,International Center for Theoretical Physics,False,True,,,
113,International Centre for Theoretical Sciences,True,False,,,
114,International Gravitational-Wave Observatory Network (IGWN),False,True,,,
115,Internet2,True,True,,,
116,Iolani School,False,True,,,
117,Iowa State University,True,True,,153603.0,Iowa State University
118,JINR,True,False,,,
119,Jackson Laboratory for Genomic Medicine,False,True,,,
120,Jefferson Lab,False,True,,,
121,Johns Hopkins University,False,True,,162928.0,Johns Hopkins University
122,Johns Hopkins University Applied Physics Lab,False,True,,,
123,Kansas State University,True,True,,155399.0,Kansas State University
124,Kansas University,True,False,,,
